assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population_x,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population_y,category,main_common_name,location_clean,location_detail_clean,threat_clean,main_threat_clean,needs_manual_review,country_code
1496235,177724,Stagnicola pilsbryi,Extinct,,2012,2012-03-05 00:00:00 UTC,3.1,English,"Stagnicola pilsbryi has been assessed as Extinct. Live specimens of the species have not been collected since 1968, despite a targeted survey being carried out in 1990. Clarke (1991) believes that the species became extinct due to habitat decline due to abstraction of water and diversion of the spring that it formerly inhabited.",This species was found in freshwater springs (NatureServe 2009).,This species is considered to be extinct due to slash and burn activities in the 1970s and spring diversion and drainage (Clarke 1991). This species was only known from one spring and is unlikely to be found in any others.,NatureServe (2009) state that this species is extinct and that it was only known from the Utah type locality. (This is based on the assumption that Stagnicola pilsbryi is the same species as Lymnaea pilsbryi).,,"This species is only known from the type locality at Fish Spring, Juab County, Utah (Oliver and Bosworth 1999). No live specimens of the species have been collected since 1968 (J. Cordeiro pers. comm. 2012). Russell (1971) found shells in Fish Springs only, but he reported that some of the shells appeared to have been relatively fresh. Live individuals or fresh snails have not been found since then including a targeted survey by Clarke (1991) in 1990. Therefore, it is believed that the species is extinct and only known from the Utah type locality (J. Cordeiro pers. comm. 2012). Clarke (1991) believes this species is extinct due to slash and burn activities in 1970 and the diversion and drainage of the spring.",This species was not utilised.,Freshwater (=Inland waters),This species has been given a NatureServe Global Heritage Status Rank of GX - Extinct (NatureServe 2009).,Nearctic,1968,FALSE,FALSE,Global,177724,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Stagnicola,Stagnicola pilsbryi,"Hemphill, 1890",,,,EX,Fish Springs Marshsnail,North America,United States,Overharvesting; Agriculture; Water Modification; Fire,Overharvesting,,US
1970358,191116,Atherinella callida,Extinct,,2019,2018-02-23 00:00:00 UTC,3.1,English,"Atherinella callida was a narrow endemic freshwater fish species known only from a single collection taken at Refugio, Veracruz, Mexico just west-north-west of Acatlan (Eschmeyer 1998, Chernoff 1986). The species has not been reported from the wild since 1957 (Burkhead 2012). Over the last fifty years there have been several comprehensive surveys but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). A continuing decline of the species' habitat quality has been reported as a result of water pollution from urban and industrial discharges and agricultural run-off, increased sedimentation, dewatering, and anthropogenic modifications to natural channels and flow regimes due to the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999,  Jelks, et al. 2008, Garrido et al. 2010). Based on these observations and the survey effort, the species is assessed as Extinct.","Very little is known about this freshwater riverine species, other than inhabiting rocky-bottomed waters, with a maximum known size of 55 mm (SL) (Miller 2005).","The specific threats which caused and related to the extinction of Atherinella callida are thought to be a direct result of habitat loss and degradation, including perturbations caused by factors such as sedimentation, water pollution from urban and industrial discharges and agricultural run-off, dewatering, and anthropogenic modifications to natural channels and flow regimes, as a result of the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999, Jelks et al. 2008, Garrido et al. 2010).",This species is thought to be extinct.,,"Atherinella callida is a narrow endemic known only from a single collection taken at Refugio, Veracruz, Mexico just west north west of Acatlan (Eschmeyer 1998 Chernoff, 1986). The streams around Refugio drain into the Rio Tonto, a tributary to the Rio Papaloapan. There have been several comprehensive surveys over the last fifty years but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). The species has not been reported from the wild since 1957, which is considered the estimated year of extinction (Burkhead 2012).",Atherinella callida is believed to be extinct.,Freshwater (=Inland waters),Atherinella callida is believed to be extinct.,Neotropical,1957,FALSE,FALSE,Global,191116,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,Atherinella callida,"Chernoff, 1986",,,,EX,Cunning Silverside,North America,Mexico,Habitat Loss; Overharvesting; Agriculture; Water Modification; Pollution; Urbanization,Habitat Loss,,MX
2443283,196286,Thomasettia seychellana,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species was last collected in 1908 despite searches for it in suitable habitat and therefore, it is assessed as Extinct.",This species was recorded from woodland habitats.,This species was likely threatened by invasive plant species causing habitat deterioration.,This species is assumed to be extinct as it was last recorded in 1908 in small numbers. Since then no individuals have been located despite searches of suitable habitat.,,"This species was endemic to the Seychelles islands of Mahe and Silhouette where it was recorded in 1908. A record from Praslin island is uncertain. Historically, the species had an area of occupancy (AOO) of 30 km2 and an extent of occurrence (EOO) of 300 km2.",,Terrestrial,No conservation actions were taken.,Afrotropical,1908,FALSE,FALSE,Global,196286,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Thomasettia,Thomasettia seychellana,"Hirst, 1911",,,,EX,,Indian Ocean Islands,Seychelles,Invasive Species; Habitat Loss; Overharvesting,Invasive Species,,SC
2443290,196288,Pleorotus braueri,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species has not been collected since 1894 despite searches for this and similar species in likely sites and therefore, it is assessed as Extinct.",There are no precise details on the habitats and ecology of this species. The only known specimen was probably collected from mountain forest habitat.,"This species occupied habitats that are deteriorating due to the effects of invasive plants, especially Cinnamomum verum.","This species has not been recorded since 1894 and therefore, is assumed to be extinct.",,This species was endemic to the Seychelles island of Mahe. It is known from a single specimen from an imprecise locality in 1894 and was probably collected from high forest.,,Terrestrial,No conservation actions were taken.,Afrotropical,1894,FALSE,FALSE,Global,196288,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Pleorotus,Pleorotus braueri,"Simon, 1898",,,,EX,,Indian Ocean Islands,Seychelles,Invasive Species; Habitat Loss; Overharvesting,Invasive Species,,SC
2443297,196290,Stipax triangulifer,Extinct,,2014,2012-12-01 00:00:00 UTC,3.1,English,"This species was last recorded in 1894 despite searches for it and similar species in potentially suitable habitat and therefore, it is assessed as Extinct.",No details on the habitats and ecology of this species are known but it probably occurred in mountain forests.,This species was likely threatened by invasive plant species causing habitat deterioration.,This species is assumed to be extinct as it has not been recorded since 1894.,,This species was endemic to the Seychelles island of Mahe where it was collected once in 1894 from an imprecise locality. It probably occurred in mountain forests.,,Terrestrial,No conservation actions were taken.,Afrotropical,1894,FALSE,FALSE,Global,196290,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Stipax,Stipax triangulifer,"Simon, 1898",,,,EX,,Indian Ocean Islands,Seychelles,Invasive Species; Habitat Loss,Invasive Species,,SC
2503535,197874,Macrobrachium leptodactylus,Extinct,,2013,2011-11-30 00:00:00 UTC,3.1,English,"The species is only known from the type specimen collected from an unknown location in the Bogor Regency (2,664 km2) in Java, Indonesia in 1888. Surveys in the past 30 years in the area have failed to collect the species. This complex of freshwater shrimp species have been well surveyed in the wider region and based on the total lack of records over the past 30 years (surveyed every year) in the Bogor Regency and the level of development of the Regency since the description, the species is assessed as Extinct. It is however noted that Ou and Yeo (1995) consider that Macrobrachium leptodactylus could be a synonym of M. pilimanus, a widespread species in Java.",The exact habitat requirements are unknown.,"Since the species was collected 1888, the Bogor Regency has developed significantly (urban and agriculture). There are now 1,791 people per km2 according to 2010 official population census of the Bogor Regency.",Extinct. Surveys in the past 30 years in the area have failed to collect the species.,Stable,"The species is only known from the type specimen collected from an unknown location in the Bogor Regency in Java, Indonesia in 1888 (Chace and Bruce 1993). Surveys in the past 30 years in the area failed to collect the species.",No information is available.,Freshwater (=Inland waters),,Indomalayan,1888,FALSE,FALSE,Global,197874,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,Macrobrachium leptodactylus,"(De Man, 1892a)",,,,EX,,Asia,Indonesia,Overharvesting; Agriculture; Urbanization; Unknown,Overharvesting,,ID
2594210,199495,Margatteoidea amoena,Extinct,,2012,2007-10-25 00:00:00 UTC,3.1,English,This species has not been recorded since 1905 despite thorough searches in 2006.,The island where the species has been recorded is dominated by coastal woodland and coconut plantation.,The entire range of the species is at sea level; any change will eliminate all habitat. It has not been recorded since 1905 and is probably extinct. A large fire in 2007 severely damaged remaining woodland areas.,"There is no information available on population size or trends. Despite thorough searches in 2006, the species is known only from five specimens collected in 1905.",Unknown,"The species is endemic to Seychelles, where it has been recorded only from Desroches Island.",This species is not utilized.,Terrestrial,No conservation actions are in place for this species.,Afrotropical,1905,FALSE,FALSE,Global,199495,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,BLATTELLIDAE,Margatteoidea,Margatteoidea amoena,"(Bolivar, 1924)",,,,EX,,Indian Ocean Islands,Seychelles,Climate Change; Fire,Climate Change,,SC
2706765,201472,Eucarlia alluaudi,Extinct,,2014,2012-11-01 00:00:00 UTC,3.1,English,This species is assessed as Extinct. It was restricted to coastal woodland on Marianne island where it was last recorded in 1892. The island is heavily degraded as a result of almost complete clearance in the early 1900s and subsequent abandonment of the coconut placation. Coastal woodland on other islands has also been reduced to small and degraded fragments and searches of these have failed to locate the species.,This species was historically found in coastal woodland.,"The species is now extinct but it was threatened by habitat deterioration due to the effects of invasive plant species, mainly as a result of abandonment of coconut plantations on Marianne island.",This species is extinct as it has not been recorded since 1892 despite subsequent searches of appropriate habitat.,,"This species was endemic to the Seychelles island of Marianne, where it was last recorded in 1892.",,Terrestrial,No conservation actions were taken before the extinction of this species.,Afrotropical,1892,FALSE,FALSE,Global,201472,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,PACHYBOLIDAE,Eucarlia,Eucarlia alluaudi,"(Brolemann, 1896)",,,,EX,,Indian Ocean Islands,Seychelles,Invasive Species; Habitat Loss,Invasive Species,,SC
2706821,201484,Orthomorpha crinita,Extinct,,2014,2012-11-01 00:00:00 UTC,3.1,English,"This species is known from a single specimen from 1894 from Mahe island (precise locality not known). Since then several searches have been made in the most likely habitats over most of the island and no individuals have been found. This species is large enough that it is unlikely to have been overlooked in the searches and therefore, it is assessed as Extinct.",No details are known on the habitats and ecology of this species but it was probably a forest species found in leaf litter.,"It is likely that this species was threatened by habitat deterioration due to the effects of invasive plants, especially Cinnamomum verum, and climate change causing drying of higher, cloud associated habitats.","This species has not been located since 1894 despite subsequent searches and therefore, is assumed to be extinct.",,This species was endemic to the Seychelles island of Mahe where a single specimen was collected in 1894. The precise locality is unknown.,,Terrestrial,No conservation actions were taken for this species.,Afrotropical,1894,FALSE,FALSE,Global,201484,ANIMALIA,ARTHROPODA,DIPLOPODA,POLYDESMIDA,PARADOXOSOMATIDAE,Orthomorpha,Orthomorpha crinita,"Attems, 1900",,,,EX,,Indian Ocean Islands,Seychelles,Invasive Species; Habitat Loss; Climate Change; Unknown,Invasive Species,,SC
4521607,153621,Cambarellus chihuahuae,Extinct,,2010,2010-06-01 00:00:00 UTC,3.1,English,"Cambarellus chihuahuae has been assessed as Extinct. The sites from which this species was previously known, have now dried up and the only remaining spring in the area contains no crayfish. There is no other suitable habitat in the area as a result of excessive groundwater abstraction for agriculture. There have been a number of targeted surveys for this species.","The type locality was a clear shallow spring, 10 cm deep and 1 - 2.5 m wide, which flows at a moderate rate over sand and gravel substrate, with sparse vegetation consisting of filamentous algae and submerged grass (Hobbs 1980). There is no suitable habitat surrounding the type locality, as the region is very arid (M. López-Mejía., F. Alvarez. and C. Pedraza-Lara pers. comm. 2009). This species was thought to co-occur with the Endangered pupfish Ciprynodon fontinalis (C. Pedraza-Lara pers. comm. 2010).","Ojo de Carbonera spring is threatened by increased pumping of groundwater for irrigation, which has already resulted in the failure of other spring flows in nearby areas (Echelle et al. 2003). An increased level of desiccation has also been reported from the area once occupied by this species (C. Pedraza-Lara pers. comm. 2010). This seems to have led to the complete desiccation of most, if not all, of the springs which formerly supported populations of this species (F. Alvarez pers. comm. 2010), while the agricultural industry responsible for this water abstraction has now collapsed in the area owing to a lack of groundwater.","Fewer than 100 specimens have been collected of this species (F. Alvarez pers. comm. 2009). After targeted surveys of this species, no new specimens were found, and it is believed to be Extinct (F. Álvarez pers. comm 2010).",Unknown,"Until recently, this species was known from the type locality, Ojo de Carbonera spring, 4.3 km south of Ejido Rancho Nuevo, approximately 57.6 km west of Villa Ahumada, Chihuahua, Mexico, and three other springs within 3 km of Ojo de Carbonera (Hobbs 1980). These springs were highly discontinuous, meaning the distribution of this species was highly fragmented (C. Pedraza-Lara pers. comm. 2010). A recent survey for this species found the type locality of this species, and several other former locations, to be completely devoid of water in 2009 (F. Alvarez pers. comm. 2010). A single spring in the area still contained water but was not found to support any crayfish after extensive searches (F. Alvarez pers. comm. 2010).",,Freshwater (=Inland waters),There are no species-specific conservation measures in place for this species.,Nearctic,1980,FALSE,FALSE,Global,153621,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,Cambarellus,Cambarellus chihuahuae,"Hobbs, 1980",,,,EX,,North America,Mexico,Agriculture; Water Modification,Agriculture,,MX
